"filename", "language", "SQL", "Java", "YAML", "Java Properties", "XML", "JSON", "Batch", "Markdown", "Python", "Docker", "PHP", "CSS", "TypeScript React", "JavaScript", "TypeScript", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/idang/dev/DB/DB2023_2149/backend/cinematown/src/main/java/com/api/cinematown/Repositories/Theater_HallRepository.java", "Java", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/idang/dev/DB/DB2023_2149/backend/cinematown/src/main/java/com/api/cinematown/ServletInitializer.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/idang/dev/DB/DB2023_2149/backend/cinematown/src/main/resources/application.properties", "Java Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/idang/dev/DB/DB2023_2149/backend/cinematown/src/test/java/com/api/cinematown/CinematownApiApplicationTests.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/idang/dev/DB/DB2023_2149/docker-compose.dev.yml", "YAML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/Users/idang/dev/DB/DB2023_2149/docker-compose.yml", "YAML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"/Users/idang/dev/DB/DB2023_2149/dump/phpmyadmin.sql", "SQL", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 56, 324
"/Users/idang/dev/DB/DB2023_2149/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/package-lock.json", "JSON", 0, 0, 0, 0, 0, 2406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2407
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/pnpm-lock.yaml", "YAML", 0, 0, 830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 946
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 56
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 10, 45
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/footer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/genre.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/genre.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 9, 31
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/movie.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 7, 47
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/movie.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/movie_buy_form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 17, 130
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/movies_table.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/navbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/seats.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 22
"/Users/idang/dev/DB/DB2023_2149/frontend/cinematown/src/componnets/selection_input.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
